                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0267,                 0.6796,                 1.2167,                0.93884,                0.91776,                0.96448,                0.71242,                0.94855,                 0.5066,                 1.1121,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0279,                0.68111,                 1.2236,                0.91044,                0.93921,                0.96416,                 0.7019,                 1.0029,                 0.5087,                 1.1403,               0.001307,               0.001307,               0.001307
                     37,                 1.0087,                0.66899,                  1.208,                0.92668,                 0.9342,                0.96194,                0.70376,                0.97778,                0.50718,                 1.1258,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0043,                0.66903,                 1.2115,                0.92497,                0.93478,                0.96283,                0.70026,                0.98893,                0.51166,                 1.1312,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0067,                 0.6645,                 1.2109,                0.92012,                0.93901,                0.96529,                0.70005,                0.98848,                0.50256,                 1.1253,              0.0012476,              0.0012476,              0.0012476
                     40,                 0.9966,                0.65106,                 1.2013,                 0.9249,                0.93043,                 0.9646,                0.68567,                 1.0358,                0.51817,                 1.1462,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0096,                0.65328,                 1.2042,                0.93719,                0.93152,                 0.9702,                0.70325,                0.96928,                0.50046,                 1.1197,               0.001208,               0.001208,               0.001208
                     42,                0.99049,                0.64026,                  1.196,                0.92672,                0.93471,                0.96191,                0.71236,                0.94316,                0.48936,                 1.0945,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.9815,                0.63006,                 1.1874,                0.91514,                0.94022,                0.96497,                 0.6853,                 1.0819,                0.50544,                 1.1764,              0.0011684,              0.0011684,              0.0011684
                     44,                0.97205,                0.63097,                 1.1814,                0.92488,                0.92717,                0.96409,                0.71184,                0.92887,                0.48875,                 1.0918,              0.0011486,              0.0011486,              0.0011486
                     45,                0.97694,                0.63579,                 1.1854,                0.92711,                0.93587,                0.96536,                0.72925,                  0.913,                0.47765,                 1.0823,              0.0011288,              0.0011288,              0.0011288
                     46,                0.96829,                0.61351,                 1.1819,                0.94889,                0.92065,                0.95889,                0.72398,                0.89261,                0.47468,                 1.0757,               0.001109,               0.001109,               0.001109
                     47,                0.96156,                0.61461,                 1.1784,                0.92409,                0.93948,                0.96743,                0.71479,                0.96965,                0.47932,                 1.1093,              0.0010892,              0.0010892,              0.0010892
                     48,                0.96436,                0.61374,                 1.1758,                0.92939,                0.94421,                0.96901,                0.69771,                 1.0023,                 0.4807,                 1.1334,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.9529,                0.60901,                 1.1764,                0.93048,                0.95109,                 0.9737,                0.72641,                0.92408,                0.45875,                 1.0818,              0.0010496,              0.0010496,              0.0010496
                     50,                0.94983,                0.60066,                 1.1655,                0.92583,                0.94973,                0.96845,                0.71023,                0.94719,                0.47301,                 1.1004,              0.0010298,              0.0010298,              0.0010298
                     51,                0.94722,                0.60445,                 1.1685,                 0.9163,                 0.9413,                0.96473,                0.72969,                0.88486,                0.46637,                 1.0797,                0.00101,                0.00101,                0.00101
                     52,                0.95014,                0.59816,                 1.1683,                0.92304,                   0.95,                0.96941,                0.73629,                0.87717,                0.44954,                 1.0642,              0.0009902,              0.0009902,              0.0009902
                     53,                0.93009,                0.58755,                 1.1518,                0.93741,                0.94674,                0.96938,                0.72615,                0.93435,                0.46331,                 1.0825,              0.0009704,              0.0009704,              0.0009704
                     54,                0.93512,                0.59352,                 1.1606,                0.93462,                   0.95,                0.97029,                0.73106,                0.88111,                0.44421,                 1.0651,              0.0009506,              0.0009506,              0.0009506
                     55,                 0.9269,                 0.5915,                 1.1565,                 0.9311,                0.94565,                0.97265,                0.72831,                0.91354,                0.45209,                 1.0882,              0.0009308,              0.0009308,              0.0009308
                     56,                0.93058,                0.58669,                 1.1612,                0.93563,                0.94792,                0.97277,                0.74729,                 0.8629,                0.44251,                 1.0584,               0.000911,               0.000911,               0.000911
                     57,                0.90806,                0.57106,                  1.148,                0.93481,                0.93478,                0.96919,                0.75039,                0.84513,                0.43762,                 1.0461,              0.0008912,              0.0008912,              0.0008912
                     58,                0.91559,                0.57558,                 1.1459,                 0.9291,                0.95441,                0.97286,                0.72721,                0.91441,                0.45541,                 1.0745,              0.0008714,              0.0008714,              0.0008714
                     59,                 0.9074,                0.56641,                 1.1479,                0.94309,                0.93661,                0.97117,                  0.742,                0.86777,                0.44143,                 1.0537,              0.0008516,              0.0008516,              0.0008516
                     60,                0.91006,                0.56818,                 1.1491,                 0.9426,                0.94611,                 0.9704,                 0.7301,                0.89146,                0.44475,                 1.0692,              0.0008318,              0.0008318,              0.0008318
                     61,                0.91232,                0.56356,                 1.1401,                0.93136,                0.94891,                0.96891,                0.73108,                 0.8912,                0.44858,                 1.0632,               0.000812,               0.000812,               0.000812
                     62,                0.90875,                0.56212,                 1.1426,                0.94402,                0.93478,                0.97123,                0.73737,                0.88287,                0.44257,                 1.0536,              0.0007922,              0.0007922,              0.0007922
                     63,                0.89789,                0.56194,                 1.1352,                0.94507,                0.93509,                0.96934,                0.72729,                0.91402,                0.44814,                 1.0752,              0.0007724,              0.0007724,              0.0007724
                     64,                0.89338,                0.55132,                 1.1352,                0.93511,                0.95109,                0.96933,                0.74315,                0.87424,                0.42659,                 1.0639,              0.0007526,              0.0007526,              0.0007526
                     65,                0.89711,                0.54943,                  1.135,                 0.9327,                0.94891,                0.97495,                0.74746,                0.86747,                 0.4285,                 1.0527,              0.0007328,              0.0007328,              0.0007328
                     66,                0.88975,                0.55125,                 1.1388,                0.93996,                0.94239,                0.97259,                 0.7435,                 0.8648,                0.43178,                 1.0489,               0.000713,               0.000713,               0.000713
                     67,                0.89183,                 0.5452,                 1.1307,                0.94917,                0.93478,                0.97378,                0.73771,                0.89674,                0.42683,                 1.0676,              0.0006932,              0.0006932,              0.0006932
                     68,                0.88284,                0.53815,                  1.124,                 0.9271,                0.95382,                0.96793,                0.74291,                0.85651,                0.42389,                 1.0565,              0.0006734,              0.0006734,              0.0006734
                     69,                 0.8712,                0.53225,                  1.121,                0.92774,                0.94891,                 0.9669,                0.73865,                0.86187,                0.42557,                 1.0508,              0.0006536,              0.0006536,              0.0006536
                     70,                0.87046,                0.53066,                  1.116,                0.93907,                0.93913,                0.97299,                0.74332,                0.87062,                0.43366,                 1.0553,              0.0006338,              0.0006338,              0.0006338
                     71,                0.86063,                0.52948,                 1.1227,                0.93546,                0.95435,                0.97258,                0.74694,                0.84677,                0.42535,                 1.0464,               0.000614,               0.000614,               0.000614
                     72,                0.87209,                0.53378,                 1.1206,                0.93587,                0.94783,                0.97169,                0.73925,                0.87396,                0.41961,                 1.0557,              0.0005942,              0.0005942,              0.0005942
                     73,                0.86498,                0.52657,                 1.1176,                0.94323,                0.94891,                0.97529,                0.75328,                0.84683,                0.42213,                 1.0389,              0.0005744,              0.0005744,              0.0005744
